_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement
9KzxEKjPduYiBoEvK,,2021-11-12T22:26:54Z,,,ExitSurvey,2021-11-12T22:40:05Z,finished,,,,2021-11-12T22:23:11Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.160000000000002,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",B,3702,8
o9BQEnwK9mPZ7jK46,,2021-11-12T22:25:02Z,,,ExitSurvey,2021-11-12T22:35:32Z,finished,,,,2021-11-12T22:23:22Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.9200000000000013,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,7100,7
Dd3H5DvYdDQJGCaXP,,2021-11-12T22:23:46Z,,,ExitSurvey,2021-11-12T22:29:41Z,finished,,,,2021-11-12T22:23:22Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.9199999999999997,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",A,2560,0
HyAYoQc6SaAsPLRMG,,2021-11-12T22:24:34Z,,,ExitSurvey,2021-11-12T22:35:32Z,finished,,,,2021-11-12T22:23:24Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.000000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,5320,4
BSeugNZYoKLcMPEym,,2021-11-12T22:23:58Z,,,ExitSurvey,2021-11-12T22:29:41Z,finished,,,,2021-11-12T22:23:28Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.18,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,3602,0
uBrwQfjsJ32taCjd5,,2021-11-12T22:24:02Z,,,ExitSurvey,2021-11-12T22:30:58Z,finished,,,,2021-11-12T22:23:33Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6800000000000006,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,4867,9
b7yQYd9yFDjGvqD5x,,2021-11-12T22:24:24Z,,,ExitSurvey,2021-11-12T22:30:58Z,finished,,,,2021-11-12T22:23:39Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,1.8200000000000007,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,1711,5
AnLPrjGHwQcnJAJx6,,2021-11-12T22:25:19Z,,,ExitSurvey,2021-11-12T22:40:05Z,finished,,,,2021-11-12T22:24:21Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.200000000000002,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",B,8667,6
XhqREEJtcdPQkLHMZ,,2021-11-12T22:29:02Z,,,ExitSurvey,2021-11-12T22:43:06Z,finished,,,,2021-11-12T22:27:50Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.680000000000001,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",B,122423,6
TTWhjiteFtwN9552j,,2021-11-12T22:30:10Z,,,ExitSurvey,2021-11-12T22:43:06Z,finished,,,,2021-11-12T22:29:02Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.6400000000000015,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,289485,3
