_id,name,factorIds,createdAt,archivedAt
cgoazZCmRGguHfkf4,,Y4n3qhKoeq4zhJM7j,2021-10-26T00:57:35Z,2021-10-07T01:23:06Z
oqSJvvnJNQWte8QoY,,"Y4n3qhKoeq4zhJM7j,unc4YJsyGSfHZ5xnL",2021-10-26T00:57:35Z,2021-10-07T01:45:42Z
u3kzYGnKs6BtrpgW4,version1,"Y4n3qhKoeq4zhJM7j,unc4YJsyGSfHZ5xnL,FEFRwnPwLHhYCD2hp,ExGyqo24cvXdSua6D",2021-10-26T00:57:35Z,
hXsArbSo7zE9CkimM,version2chatty,"Y4n3qhKoeq4zhJM7j,unc4YJsyGSfHZ5xnL,FEFRwnPwLHhYCD2hp,ExGyqo24cvXdSua6D,MfDkmCCNmSrhiY3ah",2021-10-26T00:57:35Z,
6sxr4vTeSseGLEmDE,pilot,"Y4n3qhKoeq4zhJM7j,unc4YJsyGSfHZ5xnL,FEFRwnPwLHhYCD2hp,szoQvyeBFJtD3bkAd,MfDkmCCNmSrhiY3ah,9ehWEoaCiFP7G7oWN",2021-11-08T18:57:50Z,
7GRMREx8tQajKsPzT,BoSpilot1,"Y4n3qhKoeq4zhJM7j,Gh2rD5yXcdPNSJ33F,FEFRwnPwLHhYCD2hp,szoQvyeBFJtD3bkAd,MfDkmCCNmSrhiY3ah,9ehWEoaCiFP7G7oWN,gH3kSrDqrmT3Tot3o",2021-11-12T22:19:28Z,
