_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
HC23DmE9oqkRbTxBi,0,turing,Chat,2022-04-13T18:54:58Z,180,HQG57r7iTSptzQdE5,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""turingStarted"",""roundId"":""turing"",""at"":""2022-04-13T18:54:58.019Z""}"
LsuzkdtDNsMkhrrH9,1,selection,Selection,2022-04-13T18:57:58Z,180,twws2CW29cWs2wZpr,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-04-13T18:57:58.353Z""}"
uJJDPnPLfyuMBQuqg,2,feedback,Feedback,2022-04-13T18:58:11Z,5,twws2CW29cWs2wZpr,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2022-04-13T18:58:11.165Z""}"
hGEw2eRDvHtm9YAqL,3,selection,Selection,2022-04-13T18:58:17Z,180,KGdWM3vjaHGFYPFM3,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-04-13T18:58:17.359Z""}"
KspzayrHB4bfEtprE,4,feedback,Feedback,2022-04-13T18:58:27Z,5,KGdWM3vjaHGFYPFM3,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2022-04-13T18:58:27.614Z""}"
beRTErocGhHYrZQES,5,selection,Selection,2022-04-13T18:58:33Z,180,Xso4YaFx72bJ4Svby,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-04-13T18:58:33.368Z""}"
D7EewfeFnmGiS3hR6,6,feedback,Feedback,2022-04-13T18:58:37Z,5,Xso4YaFx72bJ4Svby,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2022-04-13T18:58:37.478Z""}"
Mx6wfwaaruGhbbePD,7,selection,Selection,2022-04-13T18:58:43Z,180,cZ2b3EhdLF3HSbuws,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-04-13T18:58:43.451Z""}"
WrKAMaAf8GmYAdN9E,8,feedback,Feedback,2022-04-13T18:58:52Z,5,cZ2b3EhdLF3HSbuws,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2022-04-13T18:58:52.432Z""}"
AjaprPP29ecLPs2fX,9,selection,Selection,2022-04-13T18:58:58Z,180,sYwavdx74FoGdGa6K,GnMyShfHu4LomZLYa,2022-04-13T18:54:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-04-13T18:58:58.361Z""}"
