_id,name,required,description,type,min,max,createdAt,archivedAt
sKsoFARg9JKdyKE7G,playerCount,true,The Number of players participating in the given game.,Integer,1,,2022-01-05T23:23:36Z,
oubFC8JR4ANaCoHQd,rounds,false,reps,Integer,0,1000,2022-01-05T23:23:44Z,
BA7H73tQkEWRLTEDd,selectionDuration,false,in seconds,Integer,0,1000,2022-01-05T23:23:44Z,
35Zk8gACoSRTYnQcS,feedbackDuration,false,in seconds,Integer,0,100,2022-01-05T23:23:44Z,
M6qzzsyMbt86JGAeQ,chatEnabled,false,can you use chat?,Boolean,,,2022-01-05T23:23:44Z,
ikipG5Trey3TZ4ASb,submitCode,false,for prolific,String,0,20,2022-01-05T23:23:44Z,
uR3hqbNaW2YJSTQcd,scale,false,Factor to scale payments by,Number,0,20,2022-01-05T23:23:44Z,
K3gC4XkPePZNhoctg,turingDuration,false,how long initial get to know you chat is,Integer,0,1000,2022-01-05T23:23:44Z,
fJjrnb5phcSwW3bXs,gameType,true,"what game format (PD, SH, BoS etc)",String,2,15,2022-01-05T23:23:44Z,
