_id,gameId,gametype,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,type,playerIds,game_cond,chat_cond
twws2CW29cWs2wZpr,GnMyShfHu4LomZLYa,BoS,6,3,0,0,0,0,3,6,0,RWemhuMYyr86Szqqd,3,B,p1,12.418,orange-crate,pink-crate,6,0,0,3,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
KGdWM3vjaHGFYPFM3,GnMyShfHu4LomZLYa,BoS,9,3,0,0,0,0,3,9,1,RWemhuMYyr86Szqqd,3,B,p1,8.567,pink-crate,crate,9,0,0,3,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
Xso4YaFx72bJ4Svby,GnMyShfHu4LomZLYa,BoS,9,5,0,0,0,0,5,9,2,RWemhuMYyr86Szqqd,5,B,p1,2.82,blue-crate,aqua-crate,9,0,0,5,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
cZ2b3EhdLF3HSbuws,GnMyShfHu4LomZLYa,PD,3,3,0,6,6,0,2,2,3,RWemhuMYyr86Szqqd,3,A,p1,8.615,orange-crate,crate,3,0,6,2,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
sYwavdx74FoGdGa6K,GnMyShfHu4LomZLYa,PD,4,4,0,5,5,0,3,3,4,RWemhuMYyr86Szqqd,4,A,p1,2.67,orange-crate,pink-crate,4,0,5,3,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
n8JjhhJE6JYtNGGMw,GnMyShfHu4LomZLYa,PD,5,5,0,7,7,0,4,4,5,RWemhuMYyr86Szqqd,7,B,p1,1.56,crate,aqua-crate,5,0,7,4,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
cM984BucQbaNxu73H,GnMyShfHu4LomZLYa,PD,8,8,0,9,9,0,2,2,6,RWemhuMYyr86Szqqd,8,A,p1,1.862,yellow-crate,aqua-crate,8,0,9,2,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
nJQFYjRfg62Xa9s8f,GnMyShfHu4LomZLYa,BoS,9,4,0,0,0,0,4,9,7,RWemhuMYyr86Szqqd,4,B,p1,3.171,green-crate,yellow-crate,9,0,0,4,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
KutWtaKzFZKM2hdJo,GnMyShfHu4LomZLYa,PD,5,5,0,9,9,0,4,4,8,RWemhuMYyr86Szqqd,5,A,p1,1.87,yellow-crate,aqua-crate,5,0,9,4,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
qrnPvhAEBDp785odu,GnMyShfHu4LomZLYa,BoS,6,4,0,0,0,0,4,6,9,RWemhuMYyr86Szqqd,4,B,p1,2.562,yellow-crate,aqua-crate,6,0,0,4,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
AqHjk4RC2y6B2J8u4,GnMyShfHu4LomZLYa,BoS,9,5,0,0,0,0,5,9,10,RWemhuMYyr86Szqqd,5,B,p1,2.274,yellow-crate,purple-crate,9,0,0,5,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
4exy349MtGsB64Dan,GnMyShfHu4LomZLYa,PD,3,3,0,8,8,0,2,2,11,RWemhuMYyr86Szqqd,3,A,p1,2.046,green-crate,crate,3,0,8,2,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
K8JjbdsGgPPefHK8x,GnMyShfHu4LomZLYa,BoS,7,3,0,0,0,0,3,7,12,RWemhuMYyr86Szqqd,3,B,p1,1.716,purple-crate,orange-crate,7,0,0,3,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
Svj5qkCPMWzGreyFK,GnMyShfHu4LomZLYa,BoS,9,2,0,0,0,0,2,9,13,RWemhuMYyr86Szqqd,2,B,p1,1.727,crate,purple-crate,9,0,0,2,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
G2XgHfSQf5eugk33A,GnMyShfHu4LomZLYa,BoS,8,6,0,0,0,0,6,8,14,RWemhuMYyr86Szqqd,6,B,p1,3.09,pink-crate,green-crate,8,0,0,6,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
JJQBpfCNY4h67NF8T,GnMyShfHu4LomZLYa,BoS,9,2,0,0,0,0,2,9,15,RWemhuMYyr86Szqqd,2,B,p1,2.062,orange-crate,green-crate,9,0,0,2,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
s7QXB4Swwn77z3ime,GnMyShfHu4LomZLYa,PD,4,4,0,5,5,0,2,2,16,RWemhuMYyr86Szqqd,4,A,p1,2.208,crate,blue-crate,4,0,5,2,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
hWR2NsnNEoDJfmcpo,GnMyShfHu4LomZLYa,PD,5,5,0,9,9,0,4,4,17,RWemhuMYyr86Szqqd,5,A,p1,1.499,aqua-crate,crate,5,0,9,4,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
mbhaYqBnhFcLdWF3P,GnMyShfHu4LomZLYa,BoS,6,3,0,0,0,0,3,6,18,RWemhuMYyr86Szqqd,3,B,p1,2.517,purple-crate,crate,6,0,0,3,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
PYN6FGhPGwLiqRMqJ,GnMyShfHu4LomZLYa,PD,5,5,0,8,8,0,1,1,19,RWemhuMYyr86Szqqd,5,A,p1,2.287,pink-crate,purple-crate,5,0,8,1,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
4gnRy2J4DT6jyNKLk,GnMyShfHu4LomZLYa,BoS,6,4,0,0,0,0,4,6,20,RWemhuMYyr86Szqqd,4,B,p1,1.896,purple-crate,orange-crate,6,0,0,4,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
BRS9cKT6Y3Rm2QKeh,GnMyShfHu4LomZLYa,PD,4,4,0,8,8,0,1,1,21,RWemhuMYyr86Szqqd,4,A,p1,1.714,pink-crate,purple-crate,4,0,8,1,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
wJiwaDwBPXqwPmSEn,GnMyShfHu4LomZLYa,BoS,7,2,0,0,0,0,2,7,22,RWemhuMYyr86Szqqd,2,B,p1,3.757,blue-crate,pink-crate,7,0,0,2,BoS,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
njc6YNoG4k7FhugCw,GnMyShfHu4LomZLYa,PD,3,3,0,7,7,0,2,2,23,RWemhuMYyr86Szqqd,3,A,p1,1.959,yellow-crate,purple-crate,3,0,7,2,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
BrotFhD94Ncrcxqoz,GnMyShfHu4LomZLYa,PD,6,6,0,8,8,0,3,3,24,RWemhuMYyr86Szqqd,6,A,p1,2.036,green-crate,aqua-crate,6,0,8,3,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
zbhJubdhv8Mzfxrk4,GnMyShfHu4LomZLYa,PD,6,6,0,7,7,0,3,3,25,RWemhuMYyr86Szqqd,6,A,p1,1.86,orange-crate,purple-crate,6,0,7,3,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
Z6nsYkbMvWgLoEYb6,GnMyShfHu4LomZLYa,PD,7,7,0,9,9,0,3,3,26,RWemhuMYyr86Szqqd,7,A,p1,2.393,orange-crate,green-crate,7,0,9,3,PD,"RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",mix,nochat
