_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
RWemhuMYyr86Szqqd,,2022-04-13T18:54:58Z,,,ExitSurvey,2022-04-13T19:04:30Z,finished,,,,2022-04-13T18:54:10Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.6200000000000023,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",A,4,,
vSEm2nuHMH8Gk85Em,,2022-04-13T18:55:36Z,,,ExitSurvey,2022-04-13T19:05:20Z,finished,,,,2022-04-13T18:54:11Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.5600000000000014,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,0,,
DydiA4GyXuT3MaLTL,,2022-04-13T18:55:06Z,,,ExitSurvey,2022-04-13T19:05:20Z,finished,,,,2022-04-13T18:54:14Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.3000000000000016,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,2,,
uR9TLdRXHghePQpCT,,2022-04-13T18:54:53Z,,,ExitSurvey,2022-04-13T19:04:30Z,finished,,,,2022-04-13T18:54:15Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.760000000000001,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",A,4,,
q9fWwQeR2SFp4oWRo,,2022-04-13T18:57:33Z,,,ExitSurvey,2022-04-13T19:08:26Z,finished,,,,2022-04-13T18:54:15Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.9200000000000013,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,4,,
8Ltw9wPLZj2WFSEfk,,2022-04-13T18:55:22Z,,,ExitSurvey,2022-04-13T19:04:49Z,finished,,,,2022-04-13T18:54:16Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.080000000000002,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",B,0,,
SSBBbF9X5QnsCjawX,,2022-04-13T18:55:31Z,,,ExitSurvey,2022-04-13T19:05:22Z,finished,,,,2022-04-13T18:54:16Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.580000000000002,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,5,,
5hYfiphAvipm726nu,,2022-04-13T18:55:28Z,,,ExitSurvey,2022-04-13T19:04:49Z,finished,,,,2022-04-13T18:54:18Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.5600000000000014,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",A,0,,
rEiAg9Ybs9pFdv9Pv,,2022-04-13T18:55:45Z,,,ExitSurvey,2022-04-13T19:09:13Z,finished,,,,2022-04-13T18:54:19Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.560000000000002,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",A,6,,
avkXEjTHe5shtQuC7,,2022-04-13T18:56:46Z,,,ExitSurvey,2022-04-13T19:06:54Z,finished,,,,2022-04-13T18:54:20Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.3200000000000016,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",B,5,,
