row_id,index,stageIds,gameId,createdAt,text,playerId,role,type,submitted,targets,payoffs,repNum,player_2kmtbTcHRHurrspLX_payoff,player_2kmtbTcHRHurrspLX_role,player_hgJpQRAv9sMrD6464_payoff,player_hgJpQRAv9sMrD6464_role,player_3XoD7AQvHu3avJ9Fo_payoff,player_3XoD7AQvHu3avJ9Fo_role,player_STXF4MBw6pAhpFQzR_payoff,player_STXF4MBw6pAhpFQzR_role,player_CabZtomiyfsZdYF9Q_payoff,player_CabZtomiyfsZdYF9Q_role,player_dhz4DnHhhaPYQNCay_payoff,player_dhz4DnHhhaPYQNCay_role,player_9d7wNGCZf54Nyvkts_payoff,player_9d7wNGCZf54Nyvkts_role,player_zDMEyFj4dThs4gzrp_payoff,player_zDMEyFj4dThs4gzrp_role,player_Doke7X7WNnFwHZP4E_payoff,player_Doke7X7WNnFwHZP4E_role,player_ekSbCaWp5aNMFarbX_payoff,player_ekSbCaWp5aNMFarbX_role
ohhTgjzeQ9rNLhb7z,13,"GKJ26Cb7qmSX4pDje,jCiDvNF2KxYJwMB6M",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,Doke7X7WNnFwHZP4E,p2,selectionAlert,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":7}}",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,p2,2,p1
HbAWdyrms9bmYkSqh,14,"MYaG2F3tZHMAfaXQb,rfXWWXXSbTrMMDmiu",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,ekSbCaWp5aNMFarbX,p1,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":8}}",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,p2,8,p1
HbAWdyrms9bmYkSqh,14,"MYaG2F3tZHMAfaXQb,rfXWWXXSbTrMMDmiu",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,Doke7X7WNnFwHZP4E,p2,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":8}}",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,p2,8,p1
rp7taGc7uoeJcoP7x,15,"wttw2fpyNZNcW5jih,eGDZYRXu8SaFocoDw",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,ekSbCaWp5aNMFarbX,p1,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,p2,6,p1
rp7taGc7uoeJcoP7x,15,"wttw2fpyNZNcW5jih,eGDZYRXu8SaFocoDw",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,Doke7X7WNnFwHZP4E,p2,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,p2,6,p1
SRJDJfaiuPiwd7b3r,16,"aQ7xS4yfseuF6sKAw,k4JhTHhrjZpGcNheS",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,ekSbCaWp5aNMFarbX,p1,selectionAlert,TRUE,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":7}}",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,p2,0,p1
SRJDJfaiuPiwd7b3r,16,"aQ7xS4yfseuF6sKAw,k4JhTHhrjZpGcNheS",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,NA,Doke7X7WNnFwHZP4E,p2,selectionAlert,TRUE,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":7}}",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,p2,0,p1
8CBSuabBYLXMhdYEP,17,"wdQ7r3bYCZ5ARtPZb,NdnFfBJaDaPxeJZ9A",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,omg sorry,ekSbCaWp5aNMFarbX,p1,message,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":3},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":3,""p2"":7}}",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,p2,7,p1
8CBSuabBYLXMhdYEP,17,"wdQ7r3bYCZ5ARtPZb,NdnFfBJaDaPxeJZ9A",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,the blue/green,Doke7X7WNnFwHZP4E,p2,message,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":3},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":3,""p2"":7}}",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,p2,7,p1
8CBSuabBYLXMhdYEP,17,"wdQ7r3bYCZ5ARtPZb,NdnFfBJaDaPxeJZ9A",3NNzcmFe4Lqc76pWs,2021-12-09T17:57:56Z,it's ok,Doke7X7WNnFwHZP4E,p2,message,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":3},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":3,""p2"":7}}",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,p2,7,p1
