_id,index,stageIds,gameId,createdAt,data.chat,data.submitted,data.targets,data.payoffs,data.repNum,data.player_2kmtbTcHRHurrspLX_response,data.player_2kmtbTcHRHurrspLX_time,data.player_2kmtbTcHRHurrspLX_payoff,data.player_2kmtbTcHRHurrspLX_role,data.player_hgJpQRAv9sMrD6464_response,data.player_hgJpQRAv9sMrD6464_time,data.player_hgJpQRAv9sMrD6464_payoff,data.player_hgJpQRAv9sMrD6464_role,data.player_3XoD7AQvHu3avJ9Fo_response,data.player_3XoD7AQvHu3avJ9Fo_time,data.player_3XoD7AQvHu3avJ9Fo_payoff,data.player_3XoD7AQvHu3avJ9Fo_role,data.player_STXF4MBw6pAhpFQzR_response,data.player_STXF4MBw6pAhpFQzR_time,data.player_STXF4MBw6pAhpFQzR_payoff,data.player_STXF4MBw6pAhpFQzR_role,data.player_CabZtomiyfsZdYF9Q_response,data.player_CabZtomiyfsZdYF9Q_time,data.player_CabZtomiyfsZdYF9Q_payoff,data.player_CabZtomiyfsZdYF9Q_role,data.player_dhz4DnHhhaPYQNCay_response,data.player_dhz4DnHhhaPYQNCay_time,data.player_dhz4DnHhhaPYQNCay_payoff,data.player_dhz4DnHhhaPYQNCay_role,data.player_9d7wNGCZf54Nyvkts_response,data.player_9d7wNGCZf54Nyvkts_time,data.player_9d7wNGCZf54Nyvkts_payoff,data.player_9d7wNGCZf54Nyvkts_role,data.player_zDMEyFj4dThs4gzrp_response,data.player_zDMEyFj4dThs4gzrp_time,data.player_zDMEyFj4dThs4gzrp_payoff,data.player_zDMEyFj4dThs4gzrp_role,data.player_Doke7X7WNnFwHZP4E_response,data.player_Doke7X7WNnFwHZP4E_time,data.player_Doke7X7WNnFwHZP4E_payoff,data.player_Doke7X7WNnFwHZP4E_role,data.player_ekSbCaWp5aNMFarbX_response,data.player_ekSbCaWp5aNMFarbX_time,data.player_ekSbCaWp5aNMFarbX_payoff,data.player_ekSbCaWp5aNMFarbX_role
ALP2qarNAvx42s7mg,10,"MjtE4r5DSCDHyGp2C,dq4Yngv8qERKzDA2d",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072681231},{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072683615}",true,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":7}}",9,A,1927,7,p1,A,4313,5,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iagLdZsgHrDizQx2x,11,"QxrB4AzvNXR2Am2qo,r63kyASCXo2MJdwL3",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072691544},{""text"":""were getting some points now haha"",""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""message"",""time"":1639072697594},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072699996}",true,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":9}}",10,A,11688,0,p1,B,3237,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9SBPJsnG8EAJDijR,12,"SmX6mfDAEDcdDzqGb,LuP9AWs84v67mRCwB",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072707477},{""text"":""how bout we alternate, you get more first then me"",""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""message"",""time"":1639072720233},{""text"":""then u then me"",""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""message"",""time"":1639072725171},{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072736128}",true,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":8},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":8,""p2"":9}}",11,B,1133,0,p1,A,29785,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xC4aPR2pdsPjGyPek,13,"eqLTaCWLAs5rKh7H7,3tjo7DPXcqe7nq55t",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072749188},{""text"":""yeah"",""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""message"",""time"":1639072752698},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072754484}",true,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":4}}",12,A,13154,4,p1,A,7847,2,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbfCsZvP9mEYb35wh,14,"WZWE9ngtQ5noQdHGT,TjTuZRhkQcMJhPHru",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072764092},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072767090}",true,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",13,B,5728,6,p1,B,2730,7,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumN7sMiB4itkSsX5,15,"LEnqNjwKhRN9EPSr7,ofxJ4XJeGXv8wpyES",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072775758},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072779298}",true,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":8}}",14,A,5958,0,p1,B,2420,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dXn5aQbidD4cTFHK9,16,"smuKr2vC9fFz5ZJRD,dA67avr7QBABtRy2P",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072788801},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072792776}",true,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":7}}",15,A,6429,0,p1,B,2454,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bZnAyHyf9ARQGaBgC,17,"nME8ZtuDNaQK2JTTY,vyLYCxoa3n5vBp8dh",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072802115},{""text"":""I dont think that works lol"",""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""message"",""time"":1639072806931},{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072809288}",true,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":3}}",16,A,2728,0,p1,B,9920,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZLsXMTH5vQS5WEse8,18,"kr8K8CH275cfk49fn,MHZ3zm9MMnBbnbWcR",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072816109},{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072819836}",true,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":6}}",17,A,1688,0,p1,B,5415,0,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E86WHNKNgBEHuSnkb,19,"H9Sr6oxnhgm5344oE,EYdm3Kt73GvMcq8PH",Nmb4cLjaDsHqt8ByN,2021-12-09T17:52:29Z,"{""text"":null,""playerId"":""hgJpQRAv9sMrD6464"",""role"":""p2"",""type"":""selectionAlert"",""time"":1639072826666},{""text"":""lets just hope for the best haha"",""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""message"",""time"":1639072828822},{""text"":null,""playerId"":""2kmtbTcHRHurrspLX"",""role"":""p1"",""type"":""selectionAlert"",""time"":1639072831055}",true,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":3},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":3,""p2"":4}}",18,B,6692,3,p1,B,2303,4,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
