_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,playerIds,game_cond,chat_cond
Q2fp3Y3oiPDExzDXj,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,10,GEP2thqtKeEPqmAYh,9,A,p1,6.393,orange-crate,purple-crate,9,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
6gewGqNoPgDHqEWb4,Z5FZXHNfuyphj5PhR,5,2,0,0,0,0,2,5,11,GEP2thqtKeEPqmAYh,0,B,p1,4.892,green-crate,yellow-crate,5,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
2fFg6HkuxPpkJAigH,Z5FZXHNfuyphj5PhR,6,2,0,0,0,0,2,6,12,GEP2thqtKeEPqmAYh,0,A,p1,6.187,green-crate,pink-crate,6,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
P9z4Cx3aQRTwYePMr,Z5FZXHNfuyphj5PhR,8,4,0,0,0,0,4,8,13,GEP2thqtKeEPqmAYh,0,A,p1,4.799,green-crate,pink-crate,8,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Akn23BuNFxMo5soNi,Z5FZXHNfuyphj5PhR,3,2,0,0,0,0,2,3,14,GEP2thqtKeEPqmAYh,2,B,p1,4.551,blue-crate,green-crate,3,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
E8XPitmrvfcbYowQM,Z5FZXHNfuyphj5PhR,7,2,0,0,0,0,2,7,15,GEP2thqtKeEPqmAYh,0,A,p1,4.405,yellow-crate,green-crate,7,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Zq4eQGdfJ5qhafS6v,Z5FZXHNfuyphj5PhR,7,5,0,0,0,0,5,7,16,GEP2thqtKeEPqmAYh,7,A,p1,2.498,blue-crate,aqua-crate,7,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
wWaWwzydX2ZuL4o5k,Z5FZXHNfuyphj5PhR,6,3,0,0,0,0,3,6,17,GEP2thqtKeEPqmAYh,3,B,p1,2.819,crate,aqua-crate,6,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
wAmqqrNaeBY8BKFW5,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,18,GEP2thqtKeEPqmAYh,8,B,p1,2.999,blue-crate,orange-crate,9,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FwePpwhWcmv4yhx7r,Z5FZXHNfuyphj5PhR,7,4,0,0,0,0,4,7,19,GEP2thqtKeEPqmAYh,0,B,p1,3.129,pink-crate,blue-crate,7,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
9crQDcMSLxe63ZyYp,Z5FZXHNfuyphj5PhR,4,3,0,0,0,0,3,4,20,GEP2thqtKeEPqmAYh,0,A,p1,2.084,green-crate,blue-crate,4,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
eNrhq99BjREeEucSJ,Z5FZXHNfuyphj5PhR,9,6,0,0,0,0,6,9,21,GEP2thqtKeEPqmAYh,6,B,p1,2.091,green-crate,yellow-crate,9,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
iHtWvGGdYKo3ByKmb,Z5FZXHNfuyphj5PhR,8,6,0,0,0,0,6,8,22,GEP2thqtKeEPqmAYh,0,A,p1,1.623,purple-crate,blue-crate,8,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
QRFD6X7dmX2uzxK2k,Z5FZXHNfuyphj5PhR,7,5,0,0,0,0,5,7,23,GEP2thqtKeEPqmAYh,0,A,p1,2.529,crate,blue-crate,7,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
pCAvKyt7zWPBecrLM,Z5FZXHNfuyphj5PhR,5,4,0,0,0,0,4,5,24,GEP2thqtKeEPqmAYh,0,B,p1,2.704,yellow-crate,blue-crate,5,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
KYQ5CqrniSztZ8WA3,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,25,GEP2thqtKeEPqmAYh,8,B,p1,2.122,orange-crate,green-crate,9,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
