row_id,index,stageIds,gameId,createdAt,text,playerId,type,submitted,targets,payoffs,repNum,playerIds,game_cond,chat_cond
jmAxvdFdC9DteHQQ4,1,"pRxxiEQtcoLNhMeX4,YzviaMCztWEQGMMYT",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,Ok.,m3yvm4LFxdtfHeBRw,message,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":7}}",0,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
jmAxvdFdC9DteHQQ4,1,"pRxxiEQtcoLNhMeX4,YzviaMCztWEQGMMYT",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,trying to figure out how to do that tho,GEP2thqtKeEPqmAYh,message,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":7}}",0,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
jmAxvdFdC9DteHQQ4,1,"pRxxiEQtcoLNhMeX4,YzviaMCztWEQGMMYT",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,m3yvm4LFxdtfHeBRw,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":7}}",0,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
jmAxvdFdC9DteHQQ4,1,"pRxxiEQtcoLNhMeX4,YzviaMCztWEQGMMYT",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,GEP2thqtKeEPqmAYh,selectionAlert,TRUE,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":7}}",0,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
5dbRWpRE4yKvqiZyt,2,"CKZsTzgiDtaGzQHdn,7ctHRC4CT424ZSjd8",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,GEP2thqtKeEPqmAYh,selectionAlert,TRUE,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":9}}",1,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
5dbRWpRE4yKvqiZyt,2,"CKZsTzgiDtaGzQHdn,7ctHRC4CT424ZSjd8",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,m3yvm4LFxdtfHeBRw,selectionAlert,TRUE,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":9}}",1,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
zHq8W8hXFL4hmRrtB,3,"WbR3S8ApjqPRHNGD3,BZib7kTtKZpQmfnhz",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,GEP2thqtKeEPqmAYh,selectionAlert,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":5}}",2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
zHq8W8hXFL4hmRrtB,3,"WbR3S8ApjqPRHNGD3,BZib7kTtKZpQmfnhz",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,m3yvm4LFxdtfHeBRw,selectionAlert,TRUE,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":5}}",2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
nDTi2ebJYm9mEDF8Z,4,"F4eaAeNWqJ4tXvJba,mJaoaB5Ty9gSmun5G",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,m3yvm4LFxdtfHeBRw,selectionAlert,TRUE,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":9}}",3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
nDTi2ebJYm9mEDF8Z,4,"F4eaAeNWqJ4tXvJba,mJaoaB5Ty9gSmun5G",Z5FZXHNfuyphj5PhR,2022-01-07T17:01:22Z,NA,GEP2thqtKeEPqmAYh,selectionAlert,TRUE,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":9}}",3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
