_id,playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education,correctness,human,workedWell,fair,chatUseful,feedback,time,playerIds,game_cond,chat_cond
Mo2MfSKnqfAeJJEwk,GEP2thqtKeEPqmAYh,Z5FZXHNfuyphj5PhR,2022-01-07T17:13:40Z,29,female,english,NA,TRUE,FALSE,NA,NA,NA,bachelor,yes,yes,agree,yes,yes,no,yes,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
bLCq36yH7TuuEHk2j,m3yvm4LFxdtfHeBRw,Z5FZXHNfuyphj5PhR,2022-01-07T17:13:40Z,47,Female,English,TRUE,NA,NA,NA,NA,NA,master,yes,no,neutral,Yes,Yes,No,Yes,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
SBC77mR664ytsmyFd,2Fsgr2KWbJdTo3ZZQ,FsfQ4y827izGotseF,2022-01-07T17:13:44Z,20,male,Greek,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,stronglyAgree,"Not entirely, but mostly yes.",Yes.,N/A,Yes.,"2Fsgr2KWbJdTo3ZZQ,WNB3KubyGxLpMEYES",BoS,chat
Kqz8rJ9dAvbfEXCEu,WNB3KubyGxLpMEYES,FsfQ4y827izGotseF,2022-01-07T17:14:16Z,21,female,polish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,"pretty fair, however I feel bad cause they got less money",i hated that it reseted all the time,NA,yes,"2Fsgr2KWbJdTo3ZZQ,WNB3KubyGxLpMEYES",BoS,chat
Ya86JGSQmRgp9mPFK,Pi8bdBNhxNn44uNdJ,PTvBrGnhMF2yLncsp,2022-01-07T17:16:01Z,20,female,portuguese,TRUE,NA,NA,NA,NA,NA,someCollege,yes,no,disagree,Yes,yes,no,yes,"Pi8bdBNhxNn44uNdJ,ek5AGM5aGvZYuDRyH",BoS,chat
zEkwSWSZ9Jdbp78Ai,ek5AGM5aGvZYuDRyH,PTvBrGnhMF2yLncsp,2022-01-07T17:17:29Z,52,female,english,TRUE,NA,TRUE,NA,NA,NA,master,yes,yes,neutral,Yes. Though it felt like I had so little time to choose.,"Yes. Again, timing. We prob should have used it more during game.",At the beginning - instructions page - the page kept flashing & moving up and down. I would guess a fault. It took a while to read!,No.,"Pi8bdBNhxNn44uNdJ,ek5AGM5aGvZYuDRyH",BoS,chat
yq5GtZdNQfxGtiHb4,HajfrsTXaiKg3fBib,huMpijBxhzB7qgijL,2022-01-07T17:17:30Z,21,female,italian,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,yes,yes,no,yes,"3pciS8RTgpzDnkyoK,HajfrsTXaiKg3fBib",BoS,chat
wupgvxC94g9PoEerM,3pciS8RTgpzDnkyoK,huMpijBxhzB7qgijL,2022-01-07T17:17:51Z,26,male,Portuguese,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,agree,yea it was fair,"of course, i had to explain the easy strategie to my partner... and he could fail sometimes",i prefered if the chat had an history instead of refreshing,"we clicked every task in 5 seconds, you should put like 20 seconds to respond instead of 3 min.","3pciS8RTgpzDnkyoK,HajfrsTXaiKg3fBib",BoS,chat
jbtuyZmM6WKLu5xrG,mgvdRrSWCx3F22Q9m,qQjJutcTAnoidrRNk,2022-01-07T17:17:55Z,29,male,Portuguese,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,Yes,Yes,No problems found.,Yes,"mgvdRrSWCx3F22Q9m,tMQaWYotFudCLtrcE",BoS,chat
ikjvjPHoqCwAMTF5H,4swErhnRANwAntH8y,vfnssDmogHKt69J8W,2022-01-07T17:18:05Z,19,Female,Polish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,Yes!,Extremely,"None, thanks!",Plenty of it,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
CnY8tHQjjmcXfFQh8,t6rzkw8iTRgxRFf3y,z8rC9dut5Ap2MqTuu,2022-01-07T17:18:10Z,29,male,english,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,stronglyAgree,yes,yes,"no, it was good fun",yes,"HNDrt2xfdTWLDRvhx,t6rzkw8iTRgxRFf3y",BoS,chat
EeCz7aCeSuzgw7RJP,pZEm25w6mN3gL4Qx7,qATDEbixdfTFgEaX3,2022-01-07T17:18:10Z,21,male,english,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,yes,yes,no,yes,"3NexhWeTuEWHuu6g5,pZEm25w6mN3gL4Qx7",BoS,chat
a9tRWWfGNGyf9WxT5,RSR5yWansLRSYwmS3,HPKNwkNt2QsoLh4Ni,2022-01-07T17:18:11Z,28,male,polish,TRUE,NA,NA,NA,NA,NA,bachelor,yes,yes,stronglyAgree,yes,yes,no,yes,"RSR5yWansLRSYwmS3,p92gQxei87LFJP55C",BoS,chat
