_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement,data.exitTimeoutId,data.exited
mgvdRrSWCx3F22Q9m,,2022-01-07T17:02:02Z,,,ExitSurvey,2022-01-07T17:17:09Z,finished,,,,2022-01-07T17:00:56Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.900000000000002,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,18204,7,,
xWJADoRxt4sYfv9L8,,2022-01-07T17:02:45Z,,,ExitSurvey,2022-01-07T17:19:24Z,finished,,,,2022-01-07T17:00:57Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.360000000000001,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,6975,7,,
HNDrt2xfdTWLDRvhx,,2022-01-07T17:02:35Z,,,ExitSurvey,2022-01-07T17:17:17Z,finished,,,,2022-01-07T17:01:05Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.260000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",B,8319,6,,
BF4JK2mnp3HZ9yEha,,2022-01-07T17:02:24Z,,,ExitSurvey,2022-01-07T17:18:24Z,finished,,,,2022-01-07T17:01:09Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,4.280000000000002,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,13264,6,,
A2xEsfcmHdB8JWkaM,,2022-01-07T17:13:32Z,,,ExitSurvey,2022-01-07T17:26:49Z,finished,,,,2022-01-07T17:01:12Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.420000000000001,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,483,9,,
tMQaWYotFudCLtrcE,,2022-01-07T17:02:16Z,,,ExitSurvey,2022-01-07T17:17:09Z,finished,,,,2022-01-07T17:01:12Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.9800000000000018,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,2609,6,,
tpGrrWavY2bsca3xo,,2022-01-07T17:03:02Z,,,ExitSurvey,2022-01-07T17:21:31Z,finished,,,,2022-01-07T17:01:15Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.960000000000002,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,31029,4,,
W2hQLgAjYbZKH6x5W,,2022-01-07T17:02:50Z,,,ExitSurvey,2022-01-07T17:19:24Z,finished,,,,2022-01-07T17:01:17Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.340000000000002,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,8305,8,,
WKGaEaWxkF89GASP5,,2022-01-07T17:01:44Z,,,ExitSurvey,2022-01-07T17:17:33Z,finished,,,,2022-01-07T17:01:19Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.020000000000001,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",B,14756,4,,
p92gQxei87LFJP55C,,2022-01-07T17:03:26Z,,,ExitSurvey,2022-01-07T17:17:41Z,finished,,,,2022-01-07T17:01:24Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.280000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,7126,4,,
ek5AGM5aGvZYuDRyH,,2022-01-07T17:03:11Z,,,ExitSurvey,2022-01-07T17:14:46Z,finished,,,,2022-01-07T17:01:24Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.88,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",A,6107,0,,
t6rzkw8iTRgxRFf3y,,2022-01-07T17:02:38Z,,,ExitSurvey,2022-01-07T17:17:17Z,finished,,,,2022-01-07T17:01:28Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.540000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",B,-29139,5,,
Pi8bdBNhxNn44uNdJ,,2022-01-07T17:03:07Z,,,ExitSurvey,2022-01-07T17:14:46Z,finished,,,,2022-01-07T17:02:01Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.4600000000000004,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",B,1148,0,,
e2sqFhGiJJrYy5Sow,,2022-01-07T17:04:40Z,,,ExitSurvey,2022-01-07T17:22:32Z,finished,,,,2022-01-07T17:02:08Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.120000000000002,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,10739,4,,
