_id,name,value,factorTypeId,createdAt
Jd46qfg5SQuSebXfW,true,true,M6qzzsyMbt86JGAeQ,2022-01-05T23:23:44Z
f4oghQ86da9HBGLsL,false,false,M6qzzsyMbt86JGAeQ,2022-01-05T23:23:44Z
Y4n3qhKoeq4zhJM7j,2,2,sKsoFARg9JKdyKE7G,2022-01-05T23:23:44Z
FEFRwnPwLHhYCD2hp,180,180,BA7H73tQkEWRLTEDd,2022-01-05T23:23:44Z
9ehWEoaCiFP7G7oWN,nov8,779220FA,ikipG5Trey3TZ4ASb,2022-01-05T23:23:44Z
szoQvyeBFJtD3bkAd,5,5,35Zk8gACoSRTYnQcS,2022-01-05T23:23:44Z
Gh2rD5yXcdPNSJ33F,40,40,oubFC8JR4ANaCoHQd,2022-01-05T23:23:44Z
gH3kSrDqrmT3Tot3o,2,2,uR3hqbNaW2YJSTQcd,2022-01-05T23:23:44Z
SyoMcXXQzA43ownGc,180,180,K3gC4XkPePZNhoctg,2022-01-05T23:23:44Z
v3j7zHpjRWYPTXdsP,BoS,BoS,fJjrnb5phcSwW3bXs,2022-01-05T23:23:44Z
THvkveENcj2DnebPQ,PD,PD,fJjrnb5phcSwW3bXs,2022-01-05T23:23:44Z
unc4YJsyGSfHZ5xnL,20,20,oubFC8JR4ANaCoHQd,2022-02-24T19:41:23Z
ExGyqo24cvXdSua6D,3,3,35Zk8gACoSRTYnQcS,2022-02-24T19:41:23Z
66hs3Wzvpx2BgSpqa,test,5,oubFC8JR4ANaCoHQd,2022-02-24T19:41:23Z
4Kgro6vfFJKvXwvHi,test,30,K3gC4XkPePZNhoctg,2022-02-24T19:41:23Z
vjzsFoxTqT34aTq3Q,mixPDBoS,mixPDBoS,fJjrnb5phcSwW3bXs,2022-02-24T19:41:23Z
W2AWmCBSdBtW4fxbK,test,5,K3gC4XkPePZNhoctg,2022-02-24T19:41:23Z
yAMuDMouXY7ric4vx,spikeMix,spikeMix,fJjrnb5phcSwW3bXs,2022-06-24T00:36:27Z
ts6CYnhbrNXpMPHeu,onePointFive,1.5,uR3hqbNaW2YJSTQcd,2022-06-24T00:36:27Z
jwJH2sx2YACTjNtnA,testtest,1,oubFC8JR4ANaCoHQd,2022-06-24T00:36:27Z
