_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
jiDG4fDMbyCtioSYb,,2022-06-24T21:32:51Z,,,ExitSurvey,2022-06-24T21:43:12Z,finished,,,,2022-06-24T21:30:36Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.050000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,5,,
ztPQaaTNJbzpd5PDe,,2022-06-24T21:31:51Z,,,ExitSurvey,2022-06-24T21:45:29Z,finished,,,,2022-06-24T21:30:36Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.9999999999999996,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",A,2,,
pckPwaHu5dYSP6jsj,,2022-06-24T21:32:07Z,,,ExitSurvey,2022-06-24T21:43:19Z,finished,,,,2022-06-24T21:30:38Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.6249999999999996,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,0,,
m4MDbpmtsBJNKZASa,,2022-06-24T21:33:29Z,,,ExitSurvey,2022-06-24T21:45:58Z,finished,,,,2022-06-24T21:30:39Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.1599999999999997,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",A,10,,
FiePEmqjrX6ete7tC,,2022-06-24T21:31:40Z,,,ExitSurvey,2022-06-24T21:44:19Z,finished,,,,2022-06-24T21:30:42Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.140000000000001,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",B,8,,
CESMkMfe4nrh3Augx,,2022-06-24T21:32:01Z,,,ExitSurvey,2022-06-24T21:42:16Z,finished,,,,2022-06-24T21:30:43Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.8049999999999997,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,9,,
u5XFLom4Jab8ohvNN,,2022-06-24T21:31:45Z,,,ExitSurvey,2022-06-24T21:42:51Z,finished,,,,2022-06-24T21:30:46Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.715,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,0,,
FqbCpLhhbnmGxyqfe,,2022-06-24T21:32:19Z,,,ExitSurvey,2022-06-24T21:42:13Z,finished,,,,2022-06-24T21:30:46Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.19,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,0,,
bv53Sj5FdSaoEcMyq,,2022-06-24T21:32:25Z,,,ExitSurvey,2022-06-24T21:42:13Z,finished,,,,2022-06-24T21:30:47Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.8949999999999996,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",B,0,,
a88wKW9Kgk88mya3N,,2022-06-24T21:33:07Z,,,ExitSurvey,2022-06-24T21:43:12Z,finished,,,,2022-06-24T21:30:50Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.9449999999999994,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,8,,
