_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
x9rtsozaMqXJhBytA,32,simple,true,2022-06-24T21:29:15Z,2022-06-24T21:43:05Z,finished,,j324rhioRDuzYkYJv,2022-06-24T21:28:53Z,
5njBCjM95k4e75L4W,33,simple,true,2022-06-24T21:29:15Z,2022-06-24T21:42:13Z,finished,,ZS6fWvvwZnrq6Cu38,2022-06-24T21:28:53Z,
Rg8txgrRhhfTyZjKr,34,simple,true,2022-06-24T21:29:16Z,2022-06-24T21:42:46Z,finished,,hywbQJ96228j7aJSE,2022-06-24T21:28:53Z,
uTMrF9TsMncLAQkoH,35,simple,true,2022-06-24T21:29:16Z,2022-06-24T21:43:21Z,finished,,uYR3fqiFafhj5FvYZ,2022-06-24T21:28:53Z,
HarNc2fevcurNREX7,36,simple,true,2022-06-24T21:29:17Z,2022-06-24T21:43:12Z,finished,,PoS3kboKzTLrdjAWj,2022-06-24T21:28:54Z,
us3E3BWzjC9Zx94Da,37,simple,false,2022-06-24T21:29:29Z,,running,,Mp2hDcWbnrcLk73dZ,2022-06-24T21:28:54Z,
edvCbWjzZmc9k8hk5,38,simple,false,2022-06-24T21:29:29Z,,running,,kqqdkhgqrRivrkNzP,2022-06-24T21:28:54Z,
e3Szwnu3BNsktMQgD,39,simple,true,2022-06-24T21:29:28Z,2022-06-24T23:01:03Z,finished,,j8ZYmG7PEqtbAPHLo,2022-06-24T21:28:54Z,
55tKEKvxJR3F3XXyi,40,simple,true,2022-06-24T21:29:28Z,2022-06-24T22:51:00Z,finished,,kcGPnbKEx8eTWycZE,2022-06-24T21:28:55Z,
s4TYMSrzbtKwAz9FH,41,simple,true,2022-06-24T21:29:28Z,2022-06-24T22:09:55Z,finished,,cgknAxD269W4A68zp,2022-06-24T21:28:55Z,
GC5AA4ZmWKPHiwyge,42,simple,true,2022-06-24T21:29:27Z,2022-06-24T22:03:13Z,finished,,HLTCEBqPaQHivjr6v,2022-06-24T21:28:55Z,
QgZToY64vycYxp2KY,43,simple,true,2022-06-24T21:29:27Z,2022-06-24T21:51:28Z,finished,,owsi8S8KdKw7rNGyL,2022-06-24T21:28:55Z,
S63Fz6pH3YouQkKwA,44,simple,true,2022-06-24T21:29:26Z,2022-06-24T21:46:20Z,finished,,QFT6pjoGMRdWGYQGj,2022-06-24T21:28:55Z,
4mfAzCjyA3taAqe93,45,simple,true,2022-06-24T21:29:26Z,2022-06-24T21:46:34Z,finished,,dqwWexyp6uZFN3ywZ,2022-06-24T21:28:56Z,
ZJ2CACFXxqGQ8PhZK,46,simple,true,2022-06-24T21:29:26Z,2022-06-24T21:45:58Z,finished,,YZET4BizWYaqJxGMz,2022-06-24T21:28:56Z,
WbyjSPiLAhWjoYjtq,47,simple,true,2022-06-24T21:29:24Z,2022-06-24T21:43:57Z,finished,,yi293Yv5N4r9GBR5b,2022-06-24T21:28:56Z,
RQvsdbDiGShZKCjcy,48,simple,true,2022-06-24T21:29:05Z,2022-06-24T21:43:36Z,finished,,y4vCskQ2ipvbQqJZp,2022-06-24T21:29:04Z,
