_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB
gviTmRGuQdW23DDMp,Nmb4cLjaDsHqt8ByN,4,3,0,0,0,0,3,4,0,2kmtbTcHRHurrspLX,0,B,p1,15.293,green-crate,crate,4,0,0,3
RxpSPimdXjhRqR5tx,Nmb4cLjaDsHqt8ByN,8,4,0,0,0,0,4,8,1,2kmtbTcHRHurrspLX,0,B,p1,14.612,crate,aqua-crate,8,0,0,4
fnjCAPDuqmc6G6kjQ,Nmb4cLjaDsHqt8ByN,8,2,0,0,0,0,2,8,2,2kmtbTcHRHurrspLX,0,A,p1,2.115,yellow-crate,crate,8,0,0,2
tmRXjfq5wobsby5Dw,Nmb4cLjaDsHqt8ByN,4,3,0,0,0,0,3,4,3,2kmtbTcHRHurrspLX,0,A,p1,6.522,crate,blue-crate,4,0,0,3
jfpdstEngeSzthQkH,Nmb4cLjaDsHqt8ByN,7,3,0,0,0,0,3,7,4,2kmtbTcHRHurrspLX,0,B,p1,22.634,green-crate,purple-crate,7,0,0,3
GXjTYZn3F8WwpeX74,Nmb4cLjaDsHqt8ByN,6,5,0,0,0,0,5,6,5,2kmtbTcHRHurrspLX,0,A,p1,4.589,green-crate,yellow-crate,6,0,0,5
nmfLw6ciykA6o2ogp,Nmb4cLjaDsHqt8ByN,8,3,0,0,0,0,3,8,6,2kmtbTcHRHurrspLX,0,A,p1,2.925,orange-crate,aqua-crate,8,0,0,3
qiCveRMYtmaieCfJx,Nmb4cLjaDsHqt8ByN,5,2,0,0,0,0,2,5,7,2kmtbTcHRHurrspLX,0,B,p1,1.87,orange-crate,aqua-crate,5,0,0,2
BhTCFjv33yfwxAyMq,Nmb4cLjaDsHqt8ByN,7,4,0,0,0,0,4,7,8,2kmtbTcHRHurrspLX,4,B,p1,2.358,pink-crate,aqua-crate,7,0,0,4
ALP2qarNAvx42s7mg,Nmb4cLjaDsHqt8ByN,7,5,0,0,0,0,5,7,9,2kmtbTcHRHurrspLX,7,A,p1,1.927,pink-crate,crate,7,0,0,5
iagLdZsgHrDizQx2x,Nmb4cLjaDsHqt8ByN,9,6,0,0,0,0,6,9,10,2kmtbTcHRHurrspLX,0,A,p1,11.688,purple-crate,blue-crate,9,0,0,6
G9SBPJsnG8EAJDijR,Nmb4cLjaDsHqt8ByN,9,8,0,0,0,0,8,9,11,2kmtbTcHRHurrspLX,0,B,p1,1.133,yellow-crate,blue-crate,9,0,0,8
xC4aPR2pdsPjGyPek,Nmb4cLjaDsHqt8ByN,4,2,0,0,0,0,2,4,12,2kmtbTcHRHurrspLX,4,A,p1,13.154,blue-crate,crate,4,0,0,2
gbfCsZvP9mEYb35wh,Nmb4cLjaDsHqt8ByN,7,6,0,0,0,0,6,7,13,2kmtbTcHRHurrspLX,6,B,p1,5.728,aqua-crate,orange-crate,7,0,0,6
jumN7sMiB4itkSsX5,Nmb4cLjaDsHqt8ByN,8,2,0,0,0,0,2,8,14,2kmtbTcHRHurrspLX,0,A,p1,5.958,blue-crate,aqua-crate,8,0,0,2
