_id,gameId,gametype,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,type,playerIds,game_cond,chat_cond
abiNXFCFseQ6ATihv,kTdARJS6BQKSH5YkW,BoS,9,3,0,0,0,0,3,9,0,F3TgEKTrHAeNQRYhC,9,A,p1,13.496,crate,pink-crate,9,0,0,3,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
j7qd49NzHwSEWAraw,kTdARJS6BQKSH5YkW,easyPD,5,5,0,8,8,0,4,4,1,F3TgEKTrHAeNQRYhC,5,A,p1,3.267,purple-crate,pink-crate,5,0,8,4,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
jwx8Ret3eAKhdrzn3,kTdARJS6BQKSH5YkW,easyPD,3,3,0,4,4,0,1,1,2,F3TgEKTrHAeNQRYhC,3,A,p1,3.402,green-crate,purple-crate,3,0,4,1,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
YivYN4qW2AxNYpZJ7,kTdARJS6BQKSH5YkW,BoS,9,8,0,0,0,0,8,9,3,F3TgEKTrHAeNQRYhC,0,B,p1,11.469,pink-crate,aqua-crate,9,0,0,8,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
RyKtWBAD7Ctzb6Lfp,kTdARJS6BQKSH5YkW,BoS,6,3,0,0,0,0,3,6,4,F3TgEKTrHAeNQRYhC,0,B,p1,3.305,blue-crate,purple-crate,6,0,0,3,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
dZzRofR5E7zNDf6XD,kTdARJS6BQKSH5YkW,easyPD,7,7,0,11,11,0,5,5,5,F3TgEKTrHAeNQRYhC,7,A,p1,5.505,aqua-crate,purple-crate,7,0,11,5,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
RSFJQWKS9jMkKRAeu,kTdARJS6BQKSH5YkW,BoS,3,2,0,0,0,0,2,3,6,F3TgEKTrHAeNQRYhC,3,A,p1,3.573,blue-crate,purple-crate,3,0,0,2,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
2ctPDt723w55vNCnQ,kTdARJS6BQKSH5YkW,BoS,9,4,0,0,0,0,4,9,7,F3TgEKTrHAeNQRYhC,0,A,p1,2.061,green-crate,yellow-crate,9,0,0,4,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
7EntuoYw3XKdCwHq7,kTdARJS6BQKSH5YkW,BoS,9,6,0,0,0,0,6,9,8,F3TgEKTrHAeNQRYhC,0,A,p1,1.728,orange-crate,pink-crate,9,0,0,6,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
azpEMsFnTeou8Xa4L,kTdARJS6BQKSH5YkW,easyPD,9,9,0,11,11,0,3,3,9,F3TgEKTrHAeNQRYhC,9,A,p1,6.306,aqua-crate,yellow-crate,9,0,11,3,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
BwEYSEntyQrt98vnb,kTdARJS6BQKSH5YkW,BoS,6,4,0,0,0,0,4,6,10,F3TgEKTrHAeNQRYhC,6,A,p1,6.341,green-crate,crate,6,0,0,4,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
LSMb5ZWRvmnxh5Xxo,kTdARJS6BQKSH5YkW,easyPD,9,9,0,11,11,0,4,4,11,F3TgEKTrHAeNQRYhC,9,A,p1,2.192,pink-crate,aqua-crate,9,0,11,4,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
xGq5c2XTJG5TZqug5,kTdARJS6BQKSH5YkW,easyPD,6,6,0,12,12,0,4,4,12,F3TgEKTrHAeNQRYhC,6,A,p1,2.098,purple-crate,green-crate,6,0,12,4,PD,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
y5Ho5zr8mMZexoSRu,kTdARJS6BQKSH5YkW,BoS,7,4,0,0,0,0,4,7,13,F3TgEKTrHAeNQRYhC,7,A,p1,4.851,purple-crate,pink-crate,7,0,0,4,BoS,"F3TgEKTrHAeNQRYhC,XG7Xqmr7Ry3pFDctX",may2024,chat
