gameId,playerId
2MMNSk7qQ7aKj83Cw,8x3sqwPAun2TtYjMg
2MMNSk7qQ7aKj83Cw,TyMvmGYsWYcnekPHH
5EjqwQ7zx4aQz3qNQ,8Gd4X575jPi3Y8Xyx
5EjqwQ7zx4aQz3qNQ,vvNtoKH6A5sShTpk2
68qAYMArWSGW4EWdr,8D2frePJsRf8ABCdv
68qAYMArWSGW4EWdr,XcubzDfJk8Z6F2STy
7ThYqDrspgRKoc7KE,36FHL5JoF7jzrcud8
7ThYqDrspgRKoc7KE,JWpf9YRErjqrr48ik
8XPxZWS6czFo42Grb,AdqnhwuxCr3tkzCJt
8XPxZWS6czFo42Grb,RA85AYD6zjT2tE9kJ
93RaJrq9xdAK6LgpN,bGMjcokAeyD5jo5hw
93RaJrq9xdAK6LgpN,pdoJBcKbgtNfJQBdb
94nCRfpSktXykxeiK,6unJ3r22ND5krke3i
94nCRfpSktXykxeiK,CPrToddyk59RFjpZY
9iTH7DbiJkNLcYByG,Nc5gj5iN7ptJPCTJ4
9iTH7DbiJkNLcYByG,an7zPKK4n8YMKWEH8
AEhMZa52dPNtTYj5a,bSvSxcEvKRbegLjcq
AEhMZa52dPNtTYj5a,xGzT2ZB4MYS2mEn5c
DDxpgoPaSpE4epkNw,9RD4tnNR3LLcj5BZi
DDxpgoPaSpE4epkNw,ZGqnnaehHJN7pyLWL
EMS7SAMbaEPbWHJX3,4RmGXsq9mWASrydXH
EMS7SAMbaEPbWHJX3,F4DazHEnMTDZ7wKhZ
FNruRE4e8iuPRuw7v,ARAxzf5coEnZmFzgw
FNruRE4e8iuPRuw7v,qPGfNuBLGoWDMpqCn
GP8uy264Q9dRv3sAA,AYbqdsDXc7rgfg6e6
GP8uy264Q9dRv3sAA,tzYDN26fLDCpMPqZF
H3Y2X3FFJ4b8Qyn7G,5E8KHekJqivWnYWp3
H3Y2X3FFJ4b8Qyn7G,Zb6NueH4rHumWDn3p
JEtLBLcGEgxbPPNNQ,9DovxXP2vm6s8DzMu
JEtLBLcGEgxbPPNNQ,ZLaiZhLNkbkcNhYCt
LEGkPuxDmADY3qWwB,MYHAYj2fHyzJbFzas
LEGkPuxDmADY3qWwB,d4xfHNJJXStne2aTA
LGQujHF2eWSoAdWnG,3mbrH8RbZC79f4KuR
LGQujHF2eWSoAdWnG,vuzgZNTkRkC8TLBB5
MqBHvMz4B6sWppaHX,h94kHPD3f9TnErLxv
MqBHvMz4B6sWppaHX,rmyHYpxRibWkCCTAi
NBKg6JoEa5hdzb3mv,Payx2mw85NonymMCc
NBKg6JoEa5hdzb3mv,rFxkypzd4uKZnAa3R
NwuRNfDwCmA7P3YyG,b2BZS5YTS7YwzFWPx
NwuRNfDwCmA7P3YyG,f8Pcerdu4Qj55Yew4
Nwz9Kdwh3whBPm9qa,HLpbtojLoHvYFh9HW
Nwz9Kdwh3whBPm9qa,RheSCoheduonR6Qug
PGQzAWoLzqYS9soap,pgMgqLmjKiD7TTPKG
PGQzAWoLzqYS9soap,sL4PfezM2X6mGy3P5
PzPjHc5yE8EgPT6AJ,MPfxMjFnMJLJXyWSA
