row_id,index,stageIds,gameId,createdAt,targets,payoffs,repNum,text,playerId,role,type,submitted
zqpLmTk9NAhoQ7wQw,4,"oF3krxHA5kgjaHmdf,KhjQEBc5qQsapsJZD",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",4,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
QK4TYuCWN5CJkrfYc,5,"A2Y6tZjkK29n3Kxpy,fCCYMmG7mWvhFvtcH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":6},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",5,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
QK4TYuCWN5CJkrfYc,5,"A2Y6tZjkK29n3Kxpy,fCCYMmG7mWvhFvtcH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":6},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",5,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
hGXNHvd6aP6xruo4z,6,"hy8Aoe7qkC9XP8miE,rRKR5ysSJeavS9BJq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",6,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
hGXNHvd6aP6xruo4z,6,"hy8Aoe7qkC9XP8miE,rRKR5ysSJeavS9BJq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",6,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
vjdbQ6ED3YSYPsh2f,7,"JPj63mrY8Bwa9y3vH,HNy4vhgyhFxBcd7Mf",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",7,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
vjdbQ6ED3YSYPsh2f,7,"JPj63mrY8Bwa9y3vH,HNy4vhgyhFxBcd7Mf",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",7,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
G9YH9Zdz9noLWi5pj,8,"D3Y7tkKRkCESqyvzE,zinCGcxXtrQiQLxn8",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",8,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
G9YH9Zdz9noLWi5pj,8,"D3Y7tkKRkCESqyvzE,zinCGcxXtrQiQLxn8",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",8,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
7Xqe9P7EwhgJPMTQ5,9,"jNvEzogCMvLCrvZH6,HSsT2HjWN2KXa6sCX",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",9,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
7Xqe9P7EwhgJPMTQ5,9,"jNvEzogCMvLCrvZH6,HSsT2HjWN2KXa6sCX",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",9,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
zSyjHsBsdYDLhytAu,10,"pF3M7eociGQ9bZ33K,PFP9oAJK9HZzpfQTP",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":2,""p2"":2},""AB"":{""p1"":0,""p2"":3},""BA"":{""p1"":3,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",10,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
zSyjHsBsdYDLhytAu,10,"pF3M7eociGQ9bZ33K,PFP9oAJK9HZzpfQTP",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":2,""p2"":2},""AB"":{""p1"":0,""p2"":3},""BA"":{""p1"":3,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",10,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
5rkaKLo2JRviSPrZH,11,"DY84AXLC3Krk9NXre,AeCfvuYkZxkpnjyMa",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",11,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
5rkaKLo2JRviSPrZH,11,"DY84AXLC3Krk9NXre,AeCfvuYkZxkpnjyMa",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",11,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
cKRgysMc8SXmSqukA,12,"pjXPKQKhQ5Tt6BNTu,dKqPGxfcApbTCz926",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",12,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
cKRgysMc8SXmSqukA,12,"pjXPKQKhQ5Tt6BNTu,dKqPGxfcApbTCz926",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",12,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
Tz8zXvvwbniHgA5oa,13,"fc5EKD6Gy3iDLrbyZ,FpzPi9Qk79xfMLMvN",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",13,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
Tz8zXvvwbniHgA5oa,13,"fc5EKD6Gy3iDLrbyZ,FpzPi9Qk79xfMLMvN",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",13,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
j6odAmLFzu6QpiDFc,14,"29TGGG3psGTF4PBwK,HE2N3FxGK5HmK9Kk4",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",14,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
j6odAmLFzu6QpiDFc,14,"29TGGG3psGTF4PBwK,HE2N3FxGK5HmK9Kk4",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",14,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
BNhf7ZuQJMp678tdM,15,"N4bC2GDi3exgKNntv,TpHBGTHCQ6cS4ao6F",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",15,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
BNhf7ZuQJMp678tdM,15,"N4bC2GDi3exgKNntv,TpHBGTHCQ6cS4ao6F",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",15,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
3HzpfLiXv4HCczpXZ,16,"JC7EBaCBeoxRRyh3b,aiKX2NpaidgvumjMH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",16,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
3HzpfLiXv4HCczpXZ,16,"JC7EBaCBeoxRRyh3b,aiKX2NpaidgvumjMH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",16,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
LL9bcZg2Tf4HmeNop,17,"yb5mMyNHSzyCkCwvL,CgZpu3EXRD5Myd9Jq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",17,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
LL9bcZg2Tf4HmeNop,17,"yb5mMyNHSzyCkCwvL,CgZpu3EXRD5Myd9Jq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",17,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
a7TgCj6zRPhaM436S,18,"GfpemfWo4QoZfF3GJ,a8DGe2X6yD9bv9JXD",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",18,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
a7TgCj6zRPhaM436S,18,"GfpemfWo4QoZfF3GJ,a8DGe2X6yD9bv9JXD",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",18,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
GrpACDnm3vemubYHL,19,"tFFNuckmY86zbSusE,9FcyxJmR6JGtkpWfq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":4,""p2"":4}}",19,NA,WvggzrzGgjk4HDh9M,p2,selectionAlert,TRUE
