_id,index,stageIds,gameId,createdAt,data.targets,data.payoffs,data.repNum,data.chat,data.submitted,data.player_BSeugNZYoKLcMPEym_response,data.player_BSeugNZYoKLcMPEym_time,data.player_BSeugNZYoKLcMPEym_payoff,data.player_BSeugNZYoKLcMPEym_role,data.player_Dd3H5DvYdDQJGCaXP_response,data.player_Dd3H5DvYdDQJGCaXP_time,data.player_Dd3H5DvYdDQJGCaXP_payoff,data.player_Dd3H5DvYdDQJGCaXP_role,data.player_b7yQYd9yFDjGvqD5x_response,data.player_b7yQYd9yFDjGvqD5x_time,data.player_b7yQYd9yFDjGvqD5x_payoff,data.player_b7yQYd9yFDjGvqD5x_role,data.player_uBrwQfjsJ32taCjd5_response,data.player_uBrwQfjsJ32taCjd5_time,data.player_uBrwQfjsJ32taCjd5_payoff,data.player_uBrwQfjsJ32taCjd5_role,data.player_HyAYoQc6SaAsPLRMG_response,data.player_HyAYoQc6SaAsPLRMG_time,data.player_HyAYoQc6SaAsPLRMG_payoff,data.player_HyAYoQc6SaAsPLRMG_role,data.player_o9BQEnwK9mPZ7jK46_response,data.player_o9BQEnwK9mPZ7jK46_time,data.player_o9BQEnwK9mPZ7jK46_payoff,data.player_o9BQEnwK9mPZ7jK46_role,data.player_9KzxEKjPduYiBoEvK_response,data.player_9KzxEKjPduYiBoEvK_time,data.player_9KzxEKjPduYiBoEvK_payoff,data.player_9KzxEKjPduYiBoEvK_role,data.player_AnLPrjGHwQcnJAJx6_response,data.player_AnLPrjGHwQcnJAJx6_time,data.player_AnLPrjGHwQcnJAJx6_payoff,data.player_AnLPrjGHwQcnJAJx6_role,data.player_TTWhjiteFtwN9552j_response,data.player_TTWhjiteFtwN9552j_time,data.player_TTWhjiteFtwN9552j_payoff,data.player_TTWhjiteFtwN9552j_role,data.player_XhqREEJtcdPQkLHMZ_response,data.player_XhqREEJtcdPQkLHMZ_time,data.player_XhqREEJtcdPQkLHMZ_payoff,data.player_XhqREEJtcdPQkLHMZ_role
ZtJ44Tkw4EEELTn34,0,"oE2BBhEq4zTMaEMfN,SroF2fAwgoQM48pSn",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",0,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755855388},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755856497}",true,A,18134,6,p2,A,17039,7,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cTAYqzzsPDzNBHqrh,1,"qGxEGGsqw9XukYgor,2jdwJb3a3LAF7tPa4",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":8}}",1,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755871962},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755873877}",true,A,13927,0,p2,B,12019,0,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XdY8sJg5XaGhDMYHs,2,"ksZw6gcCJozopN74T,m5XS43Fk6fxskYxH2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":7}}",2,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755883290},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755885299}",true,B,8342,7,p2,B,6339,4,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4cFyM5eNsSsstL8jQ,3,"gjeFJkjw3wop5Cjzh,PDcyRbxuFEwEyLyP5",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":8},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":8,""p2"":9}}",3,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755893992},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755896064}",true,A,7101,8,p2,A,5032,9,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTxtzJ7rfwyTsT7hA,4,"Huo6ge8roTduShL65,pH3jjeEvqwdMwuMMq",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":6}}",4,"{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755906157},{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755905916}",true,B,6149,0,p2,A,5911,0,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSo2CFjBjBSRBoxkC,5,"9HjBAkWwos55PyNjQ,FJdKzCwyRJ6iHQHv2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":6}}",5,"{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755914034},{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755914567}",true,B,4069,6,p2,B,4609,5,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bQPm8SNimhrCweKHj,6,"aEkd6PPCgks8ZyyhH,Bu65mexa6SyGtuTSw",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":9}}",6,"{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755922611},{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755923535}",true,B,3628,9,p2,B,4561,4,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xw3NW7biCpRkZAphi,7,"38tyNFPzcuuD2D3WJ,XBBJDTm3Dzz2euyec",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":5}}",7,"{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755931425},{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755930579}",true,B,3456,0,p2,A,2617,0,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nor4d5qbArWgbm69B,8,"DSAavGsNJevHjSdGZ,qi5bggmTFB3Jw5CD5",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":5}}",8,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755937207},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755938436}",true,B,3475,0,p2,A,2248,0,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ePFwR9bZ2Mbr3hbTJ,9,"ZZXEHbunKeWbhqeyd,AGnfChgHFnQQbZ9wT",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":3},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":3,""p2"":5}}",9,"{""text"":null,""playerId"":""Dd3H5DvYdDQJGCaXP"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636755944513},{""text"":null,""playerId"":""BSeugNZYoKLcMPEym"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636755945933}",true,B,3950,5,p2,B,2536,3,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
