_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.justStarted,data.roleList
oKZdwR7zw8Yvj25wT,2021-11-12T22:29:41Z,oKZdwR7zw8Yvj25wT,7GRMREx8tQajKsPzT,"ZtJ44Tkw4EEELTn34,cTAYqzzsPDzNBHqrh,XdY8sJg5XaGhDMYHs,4cFyM5eNsSsstL8jQ,FTxtzJ7rfwyTsT7hA,RSo2CFjBjBSRBoxkC,bQPm8SNimhrCweKHj,Xw3NW7biCpRkZAphi,nor4d5qbArWgbm69B,ePFwR9bZ2Mbr3hbTJ,5zXSBEk6joF2qYwiZ,iDMoTgCqfKbkSqLTb,smK7e9NxjBfbCdE2s,EjarsCoE6FPmmSbRJ,tNBaHeCxwEscsGAtw,KB2u9hcuskDMQK3jk,if4axdNpw4NBGEagH,EohMnCcnaJksTMoGi,LPWXtYnAtydfz8TgT,wfdxBWkiifBFgYKWE,r6AHPXwBuPdGAvtgE,4w4DEj8LowNCSTZYn,CJE7qwKGb6J96Pow3,pGcxXZriJnCy3Rmje,Zw4PEYZewu3yyK7eo,XitQQ2Xd5oqRPA6Wh,bfLBLW9DpTMMwo7Sp,opGeWsYmpRFFdk3yh,rcXKYtjoJNtq4cRYQ,t5sL9yhyz34H5B6zX,z8ZpHysZMBtCE3aLQ,9tykeCqGJXTyTotq4,MLSwEhHbZHTsc7AJH,8pPJ2ijGttYtaLELR,7ioPb9JwGjJmXDiPz,mr9r9o6TmjRkDL2um,ui2g9i6FLtbDf2Gb5,TiJu4zQepFfCZtZdT,GynLxyckQ5uwMHxa2,C5YTn8utcKJfANeiq","BSeugNZYoKLcMPEym,Dd3H5DvYdDQJGCaXP",rHpAtDqpfrhuWDvSo,2021-11-12T22:23:57Z,false,"{""Dd3H5DvYdDQJGCaXP"":""p1"",""BSeugNZYoKLcMPEym"":""p2""}"
6w3xMe8Sxid7QQYjy,2021-11-12T22:30:58Z,6w3xMe8Sxid7QQYjy,7GRMREx8tQajKsPzT,"TRP8Fc6pW7WPct42e,qpnJp6nHeaXbg7Xin,NNG3vMwsZanqyTj3j,x5ea8woP35iAXjQt4,TGzmf4EBMoWfzcaKj,gqkx39HurcMCEeX9f,pJMP5KJj4cipy78Q2,Jm3bkpZANxaE66L3z,5xa3aPkgSAizgnE4A,brWCwMuWFtu2KsMKj,WHHNQz4LdTpyW2rCL,5ee3AEboqaymcWmhR,zz3p3GMJ8sGKDhHh3,DaRbjjXLwYZSDnGFw,wBuXWCPuG7rkEdCBD,cveEasofFtLNgnLsF,cTKgdBdanPXcX74tM,ZJhLjxmRrp4nHLu84,F2T73SvkunSFJSjXM,bAFpf4ju7oaKFdQAc,wfqaxuCsALWSK3eqN,Z543w8SGe4hbfN9pE,QjSYdEsZJ33tLpfWt,toLA8DR4wgkYR9EJj,znQeT4Cso8G27dcuC,rxHhN4cSmz3A9Yhzz,X8TopRLshBJRyEwbL,ug6KvbopNPSEpKDd7,GYQEhMi8icuFZJevi,FHcb2BK2Ne9YZxpep,bPh9WQbrhvaRAvgB9,8Tp5pKa4ReLGERhZM,tnNEgNwkzcywMeQWd,5bwQcvRmTLCqAptcL,jzRXcNz82ayC6N2JQ,H3BxviF2eRc2qDesv,RHKEKhKwqe9RABjeX,RGGe6Yn2k8xgeJefA,GpsyHcdYcfxmAp6Dz,LpQ3P52pEuemHpMp6","b7yQYd9yFDjGvqD5x,uBrwQfjsJ32taCjd5",BfoutwegktFYtaKF3,2021-11-12T22:24:24Z,false,"{""b7yQYd9yFDjGvqD5x"":""p1"",""uBrwQfjsJ32taCjd5"":""p2""}"
uR4Zjdwby8j5kxxBM,2021-11-12T22:35:32Z,uR4Zjdwby8j5kxxBM,7GRMREx8tQajKsPzT,"Z72M5GtQcBunfPFaJ,Bgj374b5maWc99WMz,DjabMosLcYkGAtBQY,B56s8zEhzgnGZDzN9,P7poSkDHvg5u9NqMC,36ES2omsYce47oaTA,t9X5w97rR3TSaWmvb,AjXiuCdKLSowjWBig,d2b2J3RmZpQKge5Ti,QpW4SaCg5vvL4e7tj,T5T2kkGQg2tJEgkb8,BsMg7Hq4SPJMJRp7M,nxqrEy7CWPveFiYLF,usP7evD2DbSy7yRnx,xZysd2BGxMR6QtMCX,PGn2JovHZW4P9RHfJ,rszpqHHDLLRC9FCYT,msoh7A3DhEQPyRzAJ,GZ65vDwHdrbgycxmL,sA33JwYCLQffFhtPv,esLLsmA2K2yA9Cwkz,Nc6Kq57b9a33czxQK,v5fgXmRk4SPrvktAz,ziyrcafzyASMnGbf5,kwWq9PiaQ8CS4Z85m,KZ7Es3TFnGRXJ6548,GDwnbnZuamxsmgAGX,9ikJ5rB3xMH5qLaD3,a4oBh8GudrGbvE7xP,ywJKKkKf7XeywfiPM,rdtBus3ioRmyi33pT,uzSAystaxsmZ4Kqya,Y4FdbuaY2wYLiGvyk,J79qDQGtDTkYSLf2m,mxppi4uRb6rr8eSGg,PgJ28Mx29gGoypMyn,kikJYA9y8hD9AtSbM,ACNA2nZB53RMFARnc,2uXk8YNiLQ5fupmim,duzvmuopyy8RjgrZb","HyAYoQc6SaAsPLRMG,o9BQEnwK9mPZ7jK46",JqaZA65fnYavYMhMR,2021-11-12T22:25:02Z,false,"{""o9BQEnwK9mPZ7jK46"":""p1"",""HyAYoQc6SaAsPLRMG"":""p2""}"
5F2moNvN32P2kGoa9,2021-11-12T22:40:05Z,5F2moNvN32P2kGoa9,7GRMREx8tQajKsPzT,"LbrEWcW5YFpBDepeW,GjmSdLrq9ZDhHoeWH,jEPHEESoQ4n5S4W6K,oyppAKfQ9bJueHSfu,8XgxPbCfpxnx73xuB,PLeHdkaZ3dzurcDy8,hAiupWccqKK6T74KW,uMDvozXm3Sbprir4L,LEuYyHhxPdt3uAoeh,C4fvbpuKAoAv3hWnr,9DXgb7aFGKpnfKzNK,HtEpQsumsXefHMWHY,Y9tzHH2ADqMEpXTWm,p7fNmmSbzFc6tx2ho,kLekM7AP9yxFdMnhi,FWgsDBfZYvjpJE6H8,hc7MWXnY6nEZjhP5w,6AGjLhiaE7gacBKKB,t982R6EooCNWuN6Ls,GCxfdtkCzjnbhtxRD,LnnamGzNBi2xQokYw,PSMoNpNF6za6ykv6d,hfcNWYdNXaj9i46Eu,vv3v5zLJ8DDqpqeZW,jnredoYsrpACKD3N6,nkwa75eJWsBxZghTr,MkbJtxb3XLTyTqfmM,vdfgdtXfkmTfoqh7F,Q4CaoihAbbehvSCH8,pYwfsgPKhB9TBn2v7,meguttnWZtCPnEx6A,fwnaWgJpxnyfGgQsB,9D3sL5ccwttLJJEJT,BABSGuv42sMScoFaH,JC8yQf2wwbmN4WB2W,bBLtvKsQDBcrQcYTt,nujkTQiSycx4KMYrk,wTkoSRidgpmvxyjAP,tDakbCC2ha3nkjtzM,n6HnF6TYnwrkoWmJt","9KzxEKjPduYiBoEvK,AnLPrjGHwQcnJAJx6",XonJWQhR97Hi63YhH,2021-11-12T22:26:54Z,false,"{""AnLPrjGHwQcnJAJx6"":""p1"",""9KzxEKjPduYiBoEvK"":""p2""}"
HyGtCYGnkTLGJhndS,2021-11-12T22:43:06Z,HyGtCYGnkTLGJhndS,7GRMREx8tQajKsPzT,"bkwXndiCq5SWrzQ6C,Mnu88nTyJeJYHpRor,D43qhisnQnAn9C543,tnAQXPn7DpGNocL3o,sMwudvh8vSsiK3aLi,iaqsH5NChvgoYosdv,jrQFGSS7yxnAaTTxZ,jmxr26JDqhiouNSH7,qQjuSq2ud2umjX7vs,jCNPXNK4JPFANFvqY,8Fd22zr2uNLHbhiZ8,hvyxCJKNMBdr3JBqy,YmDTL2Zr8HcTjCPYo,4YFSu7bRBMm7M4Bsm,oTYoZGCbLrYkBjms3,rThFg6RabvrLZxYcR,Z2wQpWo4npTr6Y7JJ,XuibseC4zaN65e6AS,ZRAS9dJyKgbw3zoFB,au8DrmNGwuceYHvPS,HrHc3SWStskQCbkfP,ybaKr5HAnzJygmwXi,dWhptdW4NqBpzAvwP,ybzn987aTZ6TEobZo,RsyZE26FM9DbF953v,3rfxcotcM4nSMCh8J,kXrQzjZGnZwcR6Mmn,9pBuMhJRhchAsFMh2,bEA3iKty6q9LusnL6,Tof7QtcPHm5Ynf74E,CeiECxTBtaCWAxJs4,z9t9xEhutW7JDasS5,MZKpc2he2eF3piDvg,qFuJaXo2ehfxLH8c5,mtCd9i8BK9FZ3ZGmJ,hqKaLQSJzcogRHiSW,2jLF5yeZquDM5W7DE,cm8QyxAhtEc4Z7qaL,XRmGTk8r2ra3aoJub,k6XekvWj6iF9KSwQQ","TTWhjiteFtwN9552j,XhqREEJtcdPQkLHMZ",m8hxxg8h9JKLRTBPD,2021-11-12T22:30:10Z,false,"{""TTWhjiteFtwN9552j"":""p1"",""XhqREEJtcdPQkLHMZ"":""p2""}"
