_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.bonus_log,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
8sgmyiK2LhXmHhR6u,,2024-10-28T17:26:13Z,,,ExitSurvey,2024-10-28T17:38:25Z,finished,,,,2024-10-28T17:24:47Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.0700000000000003,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",B,3,,
BcFFWnJtMNY4NvuqL,,2024-10-28T17:25:10Z,,,ExitSurvey,2024-10-28T17:35:49Z,finished,,,,2024-10-28T17:24:50Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,1.9799999999999998,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",B,5,,
RfgA6nZZN5nE8Pjxz,,2024-10-28T17:26:04Z,,,ExitSurvey,2024-10-28T17:52:37Z,finished,,,,2024-10-28T17:24:51Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.375,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,3,,
tj6cnLmqcBMjQwBYp,,2024-10-28T17:26:27Z,,,ExitSurvey,2024-10-28T17:43:09Z,finished,,,,2024-10-28T17:24:53Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.5400000000000014,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,0,,
owPq3CQqg8GgkwPbs,,2024-10-28T17:27:26Z,,,ExitSurvey,2024-10-28T17:49:54Z,finished,,,,2024-10-28T17:24:57Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.8549999999999995,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,0,,
3m7dX5FhrD7Ey5au7,,2024-10-28T17:26:58Z,,,ExitSurvey,2024-10-28T17:45:19Z,finished,,,,2024-10-28T17:24:59Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.585000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,9,,
JsZpLW3owe8Pa6spv,,2024-10-28T17:26:31Z,,,ExitSurvey,2024-10-28T17:46:43Z,finished,,,,2024-10-28T17:25:19Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.75,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,5,,
F75Wkc9Rteyhmueep,,,,,"Sorry,ExitSurvey",2024-10-28T17:27:03Z,gameFull,,,,2024-10-28T17:25:19Z,,,,,,,,,,,
k6RyvaijNsdYperQb,,2024-10-28T17:27:03Z,,,ExitSurvey,2024-10-28T17:45:19Z,finished,,,,2024-10-28T17:25:46Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.155000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,0,,
G9J52uKchT84CMKeh,,,,,"Sorry,ExitSurvey",2024-10-28T17:27:42Z,gameFull,,,,2024-10-28T17:25:49Z,,,,,,,,,,,
dcwAKXoaXwxEmaZE2,,2024-10-28T17:27:54Z,,,ExitSurvey,2024-10-28T17:49:54Z,finished,,,,2024-10-28T17:25:52Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.825,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",B,11,,
uEqg2SKbn84aX9sC2,,2024-10-28T17:29:44Z,,,ExitSurvey,2024-10-28T17:44:38Z,finished,,,,2024-10-28T17:26:29Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.3050000000000002,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,4,,
DT6SssMCoSxZZn3Mp,,2024-10-28T17:27:55Z,,,ExitSurvey,2024-10-28T17:39:29Z,finished,,,,2024-10-28T17:26:41Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.7249999999999999,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,5,,
592KnpgvwgywDo2tN,,2024-10-28T17:28:17Z,,,ExitSurvey,2024-10-28T17:39:29Z,finished,,,,2024-10-28T17:26:49Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.205,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,5,,
qXXZKXEq62ts4ss73,,,,,"Sorry,ExitSurvey",2024-10-28T17:28:38Z,gameFull,,,,2024-10-28T17:26:50Z,,,,,,,,,,,
p7SJXfiAERnMzMgsE,,2024-10-28T17:29:38Z,,,ExitSurvey,2024-10-28T17:47:54Z,finished,,,,2024-10-28T17:27:40Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.415,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,0,,
JY87z6tRPuNGhKweL,,2024-10-28T17:30:55Z,,,ExitSurvey,2024-10-28T17:50:01Z,finished,,,,2024-10-28T17:28:23Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.455,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",B,0,,
rBg65K8sxuBx4QDAZ,,,,,Sorry,2024-10-28T17:43:22Z,gameLobbyTimedOut,,,,2024-10-28T17:29:02Z,,,,,,,,,,,
5LHX5DdYJvqP5zicw,,2024-10-28T17:30:16Z,,,ExitSurvey,2024-10-28T17:44:38Z,finished,,,,2024-10-28T17:29:27Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.76,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,3,,
Pu3zKFPhyWsFfb7bJ,,2024-10-28T17:32:06Z,,,ExitSurvey,2024-10-28T17:46:45Z,finished,,,,2024-10-28T17:29:40Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.4849999999999999,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,0,,
x9T2egLn6mhT6pXXR,,2024-10-28T17:31:50Z,,,ExitSurvey,2024-10-28T17:50:01Z,finished,,,,2024-10-28T17:30:10Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.3600000000000003,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,0,,
r4mmG9fZa47id7BCR,,2024-10-28T17:32:11Z,,,ExitSurvey,2024-10-28T17:46:45Z,finished,,,,2024-10-28T17:30:40Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.9249999999999994,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,10,,
PJWgA696vrhRtRYYZ,,2024-10-28T17:38:21Z,,,"Sorry,ExitSurvey",2024-10-28T17:43:22Z,gameLobbyTimedOut,,,,2024-10-28T17:32:05Z,,,,,,,,,,,
TqwnXYo4kHMwK2veT,,2024-10-28T17:35:55Z,,,ExitSurvey,2024-10-28T17:50:05Z,finished,,,,2024-10-28T17:34:09Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.9049999999999996,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,7,,
MjgTJ25jycArhvh4m,,2024-10-28T17:37:09Z,,,ExitSurvey,2024-10-28T17:50:05Z,finished,,,,2024-10-28T17:35:22Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.750000000000001,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",B,9,,
nqzbp2PE5MMoDSeMa,,,,,Sorry,2024-10-28T17:54:00Z,gameLobbyTimedOut,,,,2024-10-28T17:43:51Z,,,,,,,,,,,
t9DnpbKW9HGqn8qKJ,,2024-10-28T17:48:59Z,,,"Sorry,ExitSurvey",2024-10-28T17:54:00Z,gameLobbyTimedOut,,,,2024-10-28T17:46:08Z,,,,,,,,,,,
fr86WkYXQPm93smqk,,2024-10-28T18:02:16Z,,,,2024-10-28T18:43:00Z,gameLobbyTimedOut,,,,2024-10-28T18:01:35Z,,,,,,,,,,,
RKf4NmkdgPSQwpxom,,2024-10-28T18:08:07Z,,,,2024-10-28T18:43:00Z,gameLobbyTimedOut,,,,2024-10-28T18:08:00Z,,,,,,,,,,,
