_id,gameId,gametype,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,type,playerIds,game_cond,chat_cond
8i9JFZQi6bm78MDnS,qhjdNDGJe7WC74fqh,easyPD,3,3,0,6,6,0,2,2,0,tHEibiruKysdJbdKM,3,A,p2,5.96,aqua-crate,pink-crate,3,6,0,2,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
w8rLAX6invoXnzESJ,qhjdNDGJe7WC74fqh,easyPD,7,7,0,12,12,0,4,4,1,tHEibiruKysdJbdKM,7,A,p2,5.295,purple-crate,crate,7,12,0,4,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
vBMm55cAvjLWbjfct,qhjdNDGJe7WC74fqh,easyPD,6,6,0,9,9,0,5,5,2,tHEibiruKysdJbdKM,6,A,p2,2.799,crate,orange-crate,6,9,0,5,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
sMgDRGjHuTKe6JZpB,qhjdNDGJe7WC74fqh,easyPD,7,7,0,8,8,0,1,1,3,tHEibiruKysdJbdKM,7,A,p2,1.748,blue-crate,orange-crate,7,8,0,1,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
Rzd52zCWBKxHyWvZh,qhjdNDGJe7WC74fqh,hardPD,4,4,0,12,12,0,2,2,4,tHEibiruKysdJbdKM,4,A,p2,1.86,crate,orange-crate,4,12,0,2,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
X9Y4ZJkSbntHsSZM6,qhjdNDGJe7WC74fqh,easyPD,6,6,0,11,11,0,4,4,5,tHEibiruKysdJbdKM,6,A,p2,1.454,pink-crate,green-crate,6,11,0,4,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
MvMkFB8CMY8sFjNZP,qhjdNDGJe7WC74fqh,spikeBoS,28,4,0,0,0,0,4,28,6,tHEibiruKysdJbdKM,28,B,p2,54.312,crate,blue-crate,4,0,0,28,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
GpM7325AgEyGqm2QW,qhjdNDGJe7WC74fqh,easyPD,3,3,0,4,4,0,2,2,7,tHEibiruKysdJbdKM,3,A,p2,2.33,green-crate,purple-crate,3,4,0,2,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
gLehx8xQXcMAa4SZS,qhjdNDGJe7WC74fqh,easyPD,8,8,0,10,10,0,4,4,8,tHEibiruKysdJbdKM,8,A,p2,2.949,green-crate,orange-crate,8,10,0,4,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
nSjBXLenALvY6swSC,qhjdNDGJe7WC74fqh,BoS,9,6,0,0,0,0,6,9,9,tHEibiruKysdJbdKM,6,A,p2,19.32,aqua-crate,pink-crate,6,0,0,9,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
TKiAJFc6yK3JjhY3M,qhjdNDGJe7WC74fqh,hardPD,2,2,0,8,8,0,1,1,10,tHEibiruKysdJbdKM,2,A,p2,2.393,orange-crate,aqua-crate,2,8,0,1,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
GSAzzDb7hrRQgu4fD,qhjdNDGJe7WC74fqh,BoS,5,4,0,0,0,0,4,5,11,tHEibiruKysdJbdKM,5,B,p2,9.067,crate,blue-crate,4,0,0,5,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
3SkYW2k32CXgoQwqm,qhjdNDGJe7WC74fqh,BoS,7,4,0,0,0,0,4,7,12,tHEibiruKysdJbdKM,4,A,p2,14.724,aqua-crate,green-crate,4,0,0,7,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
ELFeZFqqsnoAGkHyB,qhjdNDGJe7WC74fqh,hardPD,3,3,0,11,11,0,1,1,13,tHEibiruKysdJbdKM,3,A,p2,2.271,pink-crate,purple-crate,3,11,0,1,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
Wwq9SbH3zLt6GHRJW,qhjdNDGJe7WC74fqh,easyPD,5,5,0,6,6,0,1,1,14,tHEibiruKysdJbdKM,5,A,p2,2.207,blue-crate,orange-crate,5,6,0,1,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
HSqYXb2qXYxrRbtu4,qhjdNDGJe7WC74fqh,spikeBoS,30,4,0,0,0,0,4,30,15,tHEibiruKysdJbdKM,4,A,p2,32.443,orange-crate,blue-crate,4,0,0,30,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
HbrfH29FWYZthnWGT,qhjdNDGJe7WC74fqh,hardPD,4,4,0,9,9,0,3,3,16,tHEibiruKysdJbdKM,4,A,p2,2.175,crate,purple-crate,4,9,0,3,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
jyX8Kvi7Bs6u5urZv,qhjdNDGJe7WC74fqh,BoS,4,2,0,0,0,0,2,4,17,tHEibiruKysdJbdKM,4,B,p2,7.047,blue-crate,green-crate,2,0,0,4,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
v9EtJ9JgKdySPvLHj,qhjdNDGJe7WC74fqh,hardPD,5,5,0,12,12,0,4,4,18,tHEibiruKysdJbdKM,5,A,p2,2.585,green-crate,crate,5,12,0,4,PD,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
WxFucTKv8ZyP25a5s,qhjdNDGJe7WC74fqh,BoS,8,2,0,0,0,0,2,8,19,tHEibiruKysdJbdKM,8,B,p2,8.322,green-crate,blue-crate,2,0,0,8,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
uccKvimEzseXrhdYA,qhjdNDGJe7WC74fqh,BoS,7,6,0,0,0,0,6,7,20,tHEibiruKysdJbdKM,6,A,p2,8.301,blue-crate,orange-crate,6,0,0,7,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
57MqhEPuyQcxptksy,qhjdNDGJe7WC74fqh,BoS,6,2,0,0,0,0,2,6,21,tHEibiruKysdJbdKM,6,B,p2,7.569,blue-crate,crate,2,0,0,6,BoS,"tHEibiruKysdJbdKM,x5zqmHdp4bdvxDtGE",oct2024,chat
