_id,name,required,description,type,min,max,createdAt,archivedAt
fpYevz9yQA2xNbk7R,playerCount,true,The Number of players participating in the given game.,Integer,1,,2024-05-15T19:38:18Z,
oubFC8JR4ANaCoHQd,rounds,false,reps,Integer,0,1000,2024-05-15T19:40:16Z,
BA7H73tQkEWRLTEDd,selectionDuration,false,in seconds,Integer,0,1000,2024-05-15T19:40:16Z,
35Zk8gACoSRTYnQcS,feedbackDuration,false,in seconds,Integer,0,100,2024-05-15T19:40:16Z,
M6qzzsyMbt86JGAeQ,chatEnabled,false,can you use chat?,Boolean,,,2024-05-15T19:40:16Z,
ikipG5Trey3TZ4ASb,submitCode,false,for prolific,String,0,20,2024-05-15T19:40:16Z,
K3gC4XkPePZNhoctg,turingDuration,false,how long initial get to know you chat is,Integer,0,1000,2024-05-15T19:40:16Z,
fJjrnb5phcSwW3bXs,gameType,true,"what game format (PD, SH, BoS etc)",String,2,15,2024-05-15T19:40:16Z,
uR3hqbNaW2YJSTQcd,scale,false,Factor to scale payments by,Number,0,20,2024-10-23T19:50:07Z,
