_id,name,value,factorTypeId,createdAt
H8Agx923LrCZtjb8C,true,true,M6qzzsyMbt86JGAeQ,2024-05-15T19:40:16Z
j26jRBbPypbWotTcL,false,false,M6qzzsyMbt86JGAeQ,2024-05-15T19:40:16Z
Y4n3qhKoeq4zhJM7j,2,2,fpYevz9yQA2xNbk7R,2024-05-15T19:40:16Z
FEFRwnPwLHhYCD2hp,180,180,BA7H73tQkEWRLTEDd,2024-05-15T19:40:16Z
szoQvyeBFJtD3bkAd,5,5,35Zk8gACoSRTYnQcS,2024-05-15T19:40:16Z
Gh2rD5yXcdPNSJ33F,40,40,oubFC8JR4ANaCoHQd,2024-05-15T19:40:16Z
SyoMcXXQzA43ownGc,180,180,K3gC4XkPePZNhoctg,2024-05-15T19:40:16Z
TMGPjAELAFAw5Ddhi,easyPDBoSMix,easyPDBoSMix,fJjrnb5phcSwW3bXs,2024-05-15T19:40:16Z
jWzQbKad9MuK5ei8n,may_2024,C1EZYXEF,ikipG5Trey3TZ4ASb,2024-05-15T19:40:16Z
9ehWEoaCiFP7G7oWN,nov8,779220FA,ikipG5Trey3TZ4ASb,2024-10-23T19:50:07Z
gH3kSrDqrmT3Tot3o,2,2,uR3hqbNaW2YJSTQcd,2024-10-23T19:50:07Z
v3j7zHpjRWYPTXdsP,BoS,BoS,fJjrnb5phcSwW3bXs,2024-10-23T19:50:07Z
THvkveENcj2DnebPQ,PD,PD,fJjrnb5phcSwW3bXs,2024-10-23T19:50:07Z
vjzsFoxTqT34aTq3Q,mixPDBoS,mixPDBoS,fJjrnb5phcSwW3bXs,2024-10-23T19:50:07Z
W2AWmCBSdBtW4fxbK,test,5,K3gC4XkPePZNhoctg,2024-10-23T19:50:07Z
yAMuDMouXY7ric4vx,spikeMix,spikeMix,fJjrnb5phcSwW3bXs,2024-10-23T19:50:07Z
ts6CYnhbrNXpMPHeu,onePointFive,1.5,uR3hqbNaW2YJSTQcd,2024-10-23T19:50:07Z
jwJH2sx2YACTjNtnA,testtest,1,oubFC8JR4ANaCoHQd,2024-10-23T19:50:07Z
