_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement
DfhwRi77r89iZFEFD,,2021-11-08T19:12:23Z,,,ExitSurvey,2021-11-08T19:15:47Z,finished,,,,2021-11-08T19:11:27Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,0.6699999999999999,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,1341,7
WvggzrzGgjk4HDh9M,,2021-11-08T19:12:32Z,,,ExitSurvey,2021-11-08T19:15:47Z,finished,,,,2021-11-08T19:11:48Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.7800000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,1694,0
Hvv3gEyCGX2zBmXK2,,2021-11-08T19:12:50Z,,,ExitSurvey,2021-11-08T19:16:57Z,finished,,,,2021-11-08T19:12:09Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,0.8300000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,3709,4
m5hyD6u7arfKCWZ2h,,2021-11-08T19:13:25Z,,,ExitSurvey,2021-11-08T19:18:44Z,finished,,,,2021-11-08T19:12:18Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,0.6500000000000001,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",B,3561,6
aD8amtjzJx6jEyBMp,,2021-11-08T19:13:07Z,,,ExitSurvey,2021-11-08T19:16:57Z,finished,,,,2021-11-08T19:12:32Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.51,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",B,2263,4
YFN2b7aXAu9NEFvLC,,2021-11-08T19:14:57Z,,,ExitSurvey,2021-11-08T19:20:48Z,finished,,,,2021-11-08T19:12:38Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.1100000000000003,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,7052,5
Ew2Y7JzcqPu7Zb9P9,,2021-11-08T19:15:08Z,,,ExitSurvey,2021-11-08T19:20:48Z,finished,,,,2021-11-08T19:12:39Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,0.9700000000000004,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,4862,5
rMFK4T5wzumu8iwh7,,2021-11-08T19:14:41Z,,,ExitSurvey,2021-11-08T19:18:44Z,finished,,,,2021-11-08T19:13:11Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.8200000000000001,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,2917,0
dKYd5Wuq6rrewXLR3,,2021-11-08T19:31:32Z,,,"Sorry,ExitSurvey",2021-11-08T19:36:33Z,gameLobbyTimedOut,,,,2021-11-08T19:31:06Z,,,,,,,,,
f442op6L9PBKomYbL,,,,,"Sorry,ExitSurvey",2021-11-08T19:36:33Z,gameLobbyTimedOut,,,,2021-11-08T19:31:44Z,,,,,,,,,
