_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
WwhitNkP4sGvhRNrY,1,simple,true,2021-11-08T19:09:43Z,2021-11-08T19:15:47Z,finished,,2iyt5HqNWAyYtZvWc,2021-11-08T19:09:12Z,
bk9QuuXM9oDw4WzkN,2,simple,true,2021-11-08T19:09:50Z,2021-11-08T19:16:57Z,finished,,zLuA4iDWY3B356FLZ,2021-11-08T19:09:44Z,
hDiBWcbJcoXC8viPd,3,simple,true,2021-11-08T19:09:51Z,2021-11-08T19:18:44Z,finished,,iBNEbA9ZNacrZ97qL,2021-11-08T19:09:45Z,
z6CcrDMY3isWGz47w,4,simple,true,2021-11-08T19:09:51Z,2021-11-08T19:20:48Z,finished,,hX4iCqsQSa2GCa4DS,2021-11-08T19:09:45Z,
8zP8oPzTwQNcTaQ86,5,simple,true,2021-11-08T19:09:52Z,2021-11-08T19:36:33Z,finished,,dLp6YzKNMnnXm68fm,2021-11-08T19:09:46Z,
hmRWQkPoKRLooKvWi,6,simple,false,2021-11-08T19:09:52Z,,running,,Nm2e2xDZhGLrgLpPz,2021-11-08T19:09:47Z,
BKQiz8ME5RRTJMu5v,7,simple,false,2021-11-08T19:09:53Z,,running,,XEWpa9qwACgMxEYMd,2021-11-08T19:09:48Z,
e9xSv8iKMqb2yTA3f,8,simple,false,2021-11-08T19:09:54Z,,running,,Xnnb3SbjHZ7WDucYe,2021-11-08T19:09:49Z,
